cluster_id,cluster_size,cluster_content,center
0,46464,source(46463) sourceIs(1),sourceIs
1,4803,similar(4803),similar
2,6328,OfficialName(6328),OfficialName
3,1654,is(1654),is
4,39,isFor(31) areFor(5) thenGoFor(1) isTrueFor(1) testFor(1),isTrueFor
5,15,isConfirmedBy(6) shouldBeConfirmedUsing(1) confirmedBy(1) shouldBeTakenToConfirm(1) mustBeConfirmed(1) isUsedToConfirm(1) isBestConfirmedBy(1) isConfirmedOn(1) wasConfirmedToBe(1) shouldBeConfirmed(1),shouldBeConfirmed
6,438,has(434) probablyHas(3) alsoHas(1),probablyHas
7,22,isTypicallySeenIn(3) isAFeatureSeenIn(2) canBeSeenIn(2) isSeenInAllExcept(2) isSeenInConditionsBeside(1) areProminentlySeenIn(1) canAlsoBeSeenIn(1) isSeenMainlyInCaseOf(1) isCommonlySeenIn(1) areCharacteristicallySeenIn(1) areOnlySeenIn(1) areSeenWithMoreSeverityIn(1) isUsuallySeenIn(1) isAlsoSeenIn(1) isStaringOffInto(1) isPredominantlySeenIn(1) isNormallySeenIn(1),isUsuallySeenIn
8,157,isReferencedIn(142) areReferencedIn(7) referencedIn(5) isReferenced(2) isCitedOn(1),isReferencedIn
9,63,cause(63),cause
10,35,complainsOf(24) complainedOf(4) complaintOf(2) complainOf(2) complaintsOf(2) complicationOf(1),complainedOf
11,193,includes(192) including(1),includes
12,114,shows(114),shows
13,189,isAssociatedWith(163) areAssociatedWith(13) isNotAssociatedWith(8) isAssociatedPrimarilyWith(1) wasAssociatedWith(1) isCommonlyAssociatedWith(1) isChieflyAssociatedWith(1) areCompatibleWith(1),isNotAssociatedWith
14,21,shouldBeLoadedWith(2) doesNotConstrictWith(2) syringeShouldBeLoadedWith(1) doesNotArticulateWith(1) doesNotForm(1) doesNotPresentWith(1) doesNotDemonstrate(1) doesNotShow(1) doesNotAdhereTo(1) cannotNarrate(1) shouldNotBePerformedWithout(1) doesNotConsistOf(1) doNotConstitute(1) doesNotInvolve(1) behavesAsThoughHeDoesNotHear(1) doesNotContain(1) doesNotNeedSupplementationWith(1) doesNotPerceive(1) doesNotCommonlyPresentAs(1),doesNotPresentWith
15,17,wasDoneFor(4) wasDoneRegarding(2) wereAllottedIn(2) wasBeingVentilatedFor(1) wasDoneToSecure(1) wasExaminedFor(1) gotDislodgedIn(1) wasImmobilizedFor(1) wasTakenFor(1) doneFor(1) isSentFor(1) wasInstilledIn(1),wasDoneFor
16,47,occursIn(36) occurIn(6) occursOn(2) occursInside(1) occurringIn(1) occurredIn(1),occursIn
17,20,isUsedAs(13) isNotUsedAs(4) isATermUsedAs(1) canBeUsedAs(1) areUsedAs(1),areUsedAs
18,21,stimulates(17) triggers(1) stimulationOf(1) stimulate(1) stimulationCauses(1),stimulate
19,289,causes(289),causes
20,15,shouldBeStopped(2) willStopAt(1) shouldBeSubmergedAt(1) shouldNotEatAnythingTill(1) hasBeenStoppedDueTo(1) shouldEndWith(1) shouldBeTrimmedSoThat(1) shouldBeRinsedThoroughlyWith(1) shouldStop(1) shouldSufficeFor(1) canStop(1) shouldBeClosed(1) shouldBeTrimmed(1) stopsWith(1),shouldBeStopped
21,6,formedBy(6),formedBy
22,165,isUsedFor(146) areUsedFor(7) isNotUsedFor(5) areNotUsedFor(3) wasUsedFor(2) wereUsedFor(1) isUsedClinicallyFor(1),areNotUsedFor
23,17,resultIn(15) resultedIn(2),resultIn
24,96,isDueTo(71) areDueTo(10) dueTo(7) canBeDueTo(3) areTransitoryDueTo(1) isMostlyDueTo(1) isPrimarilyDueTo(1) isPresumedToBeDueTo(1) isOftenDueTo(1),canBeDueTo
25,28,isSufferingFrom(19) isProbablySufferingFrom(3) areSufferingFrom(2) isLikelyToBeSufferingFrom(2) couldBeDiagnosedAsSufferingFrom(1) isMostLikelySufferingFrom(1),isLikelyToBeSufferingFrom
26,8,mayLeadTo(7) mayProceedOn(1),mayLeadTo
27,16,isLikelyCausedBy(2) areMainlyCausedBy(2) isCausedByMutationIn(2) causedByMutationsIn(1) isMostLikelyCausedBy(1) isCausedByObstructionOf(1) areCausesOf(1) areCausedMainlyBy(1) rarelyCauses(1) isNotDirectlyCausedDueTo(1) causedByIngestionOf(1) isCausedByPrematureFusionOf(1) isMainlyCausedBy(1),isMainlyCausedBy
28,11,increase(7) increased(3) increaseIn(1),increase
29,228,are(228),are
